"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PTPRG-AS1",0.362668124492482,2.09867801469685,4.03644318387687,0.519932504706072,0.603110619128618,NA
"C3orf14",0.348537681550434,2.04886126304404,4.04092357296047,0.507027966763301,0.612135195737358,NA
"FEZF2",0,NA,NA,NA,NA,NA
"LOC105377647",0,NA,NA,NA,NA,NA
"CADPS",0,NA,NA,NA,NA,NA
"RPL14P2",0,NA,NA,NA,NA,NA
"RN7SL863P",0,NA,NA,NA,NA,NA
"RPS10P10",0,NA,NA,NA,NA,NA
"KRT8P35",0.308452456045228,-1.63993281452271,4.03700748503851,-0.406224863491198,0.684577386925423,NA
"LINC00698",0,NA,NA,NA,NA,NA
