"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","difflabel"
"HSD17B13",0.95402532628618,-2.07957179724781,3.44864350677304,-0.603011529943175,0.546501018970148,NA,"NO",NA
"HSD17B11",1650.19943068622,-0.479313471294144,0.19418140274768,-2.46837989895956,0.0135726189258934,0.100277271285561,"NO",NA
"LOC100129693",0,NA,NA,NA,NA,NA,"NO",NA
"NUDT9",740.994879812669,-0.690142653929834,0.240755219898952,-2.86657400084408,0.00414941137272767,0.0517057665528777,"NO",NA
"LOC105377321",3.9116774543654,2.69333338534858,1.89652333187699,1.42014249974082,0.155566199548651,0.381207801348919,"NO",NA
"SPARCL1",2.41278746876423,0.243019226136614,1.78050010361718,0.136489307494511,0.891434476831264,NA,"NO",NA
"DSPP",0.263977675748233,1.59888307817134,4.06328542880248,0.393495142339178,0.693953811093511,NA,"NO",NA
"DMP1",2.78269388207344,5.174099448304,2.43001921790283,2.12924219289483,0.0332342277243644,0.162857063241484,"UP",NA
"LOC105377323",0.13079526029432,-0.466596581223352,4.0804728567969,-0.114348654579612,0.908961414629601,NA,"NO",NA
"LOC105377324",1.05591070299293,3.76882480927975,3.77210623246702,0.999130081979394,0.317731680363455,NA,"NO",NA
"CHCHD2P7",0,NA,NA,NA,NA,NA,"NO",NA
"IBSP",0,NA,NA,NA,NA,NA,"NO",NA
"MEPE",0,NA,NA,NA,NA,NA,"NO",NA
"HSP90AB3P",45.8801213051275,0.985277764710829,0.490271394299392,2.00965786739161,0.044467412098673,0.191811378093871,"NO",NA
"SPP1",159.986969340988,0.106734295911275,0.330405654805592,0.323040160962368,0.746664827149356,0.876507470803359,"NO",NA
"PKD2",130.17662347199,-0.492052307582839,0.404642114355742,-1.21601852631249,0.223977864718317,0.464610431575553,"NO",NA
"ABCG2",392.421790439859,-0.802059093108857,0.245073845998651,-3.27272414500432,0.00106516378845454,0.0225567558074379,"NO",NA
"RPL31P24",0,NA,NA,NA,NA,NA,"NO",NA
"RNU6ATAC31P",0,NA,NA,NA,NA,NA,"NO",NA
"RNU6-1298P",0,NA,NA,NA,NA,NA,"NO",NA
"PPM1K",359.60238396471,0.699008879585031,0.29946615013879,2.33418327667775,0.0195861271930604,0.121925165405794,"NO",NA
"PPM1K-DT",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377326",0,NA,NA,NA,NA,NA,"NO",NA
"HERC6",68.1583030347652,0.100460058669629,0.433380444961282,0.231805702905224,0.816688927416427,0.914985626591584,"NO",NA
"LOC102723458",4.49666168905483,-0.0980385149053559,1.17081959167864,-0.0837349456757854,0.933267172069876,0.969400927688652,"NO",NA
"HERC5",75.7743074645862,0.129807020498468,0.391052936802906,0.331942323614084,0.739932810938279,0.872343277659457,"NO",NA
"NCOA4P2",0,NA,NA,NA,NA,NA,"NO",NA
"PIGY",0,NA,NA,NA,NA,NA,"NO",NA
"PYURF",0,NA,NA,NA,NA,NA,"NO",NA
"PIGY-DT",0.285533781884784,-1.40488920766871,4.03408420276199,-0.348254805069967,0.727648832172071,NA,"NO",NA
"HERC3",131.544487426183,-1.04152324006861,0.466325619650897,-2.23346776625379,0.0255181136798984,0.141564721612297,"DOWN",NA
"NAP1L5",0,NA,NA,NA,NA,NA,"NO",NA
"FAM13A-AS1",4.53027551245013,5.87468234373362,1.79903316281695,3.26546639892672,0.001092839704038,0.0228899157681838,"UP",NA
"FAM13A",297.415651638482,-0.0646772049065858,0.311762636297815,-0.207456562706258,0.835653312624031,0.924724045062622,"NO",NA
"LOC105377327",5.45059569548399,2.82545166143112,1.37582686187296,2.05363897139263,0.0400106473079925,0.18106353144219,"UP",NA
"TIGD2",779.739768096312,-0.330568273736449,0.313622378912772,-1.05403279855992,0.291867901108728,0.537389260524812,"NO",NA
"GPRIN3",0.217579757461274,1.90962687844689,4.05481091811891,0.470953372921466,0.637674032345537,NA,"NO",NA
"LOC105377328",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377329",3.46582090020583,5.53723992244918,1.97567678412631,2.80270536503666,0.00506759414499712,0.0578097867790892,"UP",NA
"SNCA",0.513022824922433,2.71391529895752,4.0155435609565,0.67585253596678,0.49913427542649,NA,"NO",NA
"SNCA-AS1",0,NA,NA,NA,NA,NA,"NO",NA
"MMRN1",0,NA,NA,NA,NA,NA,"NO",NA
"LOC105377331",0,NA,NA,NA,NA,NA,"NO",NA
"CCSER1",25.6174581682684,0.153041227764446,0.606935446323177,0.252154044868482,0.800921997421962,0.906315159859622,"NO",NA
"TMSB4XP8",86.3709996330139,0.912082374559716,0.621283850158593,1.46806065267412,0.142087748371896,0.362812232476318,"NO",NA
"LOC112268468",0,NA,NA,NA,NA,NA,"NO",NA
"PMPCAP1",0,NA,NA,NA,NA,NA,"NO",NA
"LNCPRESS2",0,NA,NA,NA,NA,NA,"NO",NA
"GRID2",0.769534237383649,3.31101789391529,3.97931581368276,0.832057079393009,0.405376726805163,NA,"NO",NA
"LOC100422562",0,NA,NA,NA,NA,NA,"NO",NA
"LOC107986295",0,NA,NA,NA,NA,NA,"NO",NA
